"BIOID","Account_Handle","Account_Type"
"1107402","antoine_armand","OTWIT_TYPE_2"
"1107403","valerieferra74","PTWIT"
"1107405","AnneCecileVio","PTWIT"
"1107406","XavierRoseren","GOVTWIT"
"1107501","SylvainMaillard","GOVTWIT"
"1107502","GillesLeGendre","GOVTWIT"
"1107503","StanGuerini","GOVTWIT"
"1107504","AstridPanosyan","OTWIT_TYPE_2"
"1107505","EliseFajgeles","PTWIT"
"1107505","AvecElise","OTWIT_TYPE_2"
"1107506","JulienBargeton","OTWIT_TYPE_2"
"1107507","CBeaune","GOVTWIT"
"1107508","LaetitiaAvia","GOVTWIT"
"1107508","TeamAviaREM","OTWIT_TYPE_2"
"1107509","BuonTAN","GOVTWIT"
"1107510","AChristine_Lang","GOVTWIT"
"1107510","AnneC_Lang","PTWIT"
"1107511","maudgatel","GOVTWIT"
"1107512","oliviagregoire","GOVTWIT"
"1107513","Amiel_David_","OTWIT_TYPE_2"
"1107514","benjaminhaddad","OTWIT_TYPE_2"
"1107515","MohamadParis20","OTWIT_TYPE_2"
"1107516","yanisbacha","OTWIT_TYPE_2"
"1107517","Kolia_Benie","OTWIT_TYPE_2"
"1107518","pybournazel","GOVTWIT"
"1107601","damienadam76","GOVTWIT"
"1107601","damienadam","PTWIT"
"1107602","Vidal7602","GOVTWIT"
"1107603","LOssibi","PTWIT"
"1107604","sirasylla76","GOVTWIT"
"1107605","jean_delalandre","PTWIT"
"1107606","BroutteLisa","OTWIT_TYPE_2"
"1107607","agnesfirmin","GOVTWIT"
"1107608","Echchennawasil","PTWIT"
"1107610","XavierBatut","GOVTWIT"
"1107701","AudeLuquet77","GOVTWIT"
"1107702","fredvalletoux","GOVTWIT"
"1107702","Valletoux2022","OTWIT_TYPE_2"
"1107705","franckriester","GOVTWIT"
"1107706","Fatna_Mekidiche","OTWIT_TYPE_2"
"1107707","RKokouendoJ","GOVTWIT"
"1107708","HadrienGhomi","OTWIT_TYPE_2"
"1107709","MichelePeyron","GOVTWIT"
"1107710","DoStephanie_77","GOVTWIT"
"1107711","charlynepeculie","OTWIT_TYPE_2"
"1107801","charles_rodwell","OTWIT_TYPE_2"
"1107802","jnbarrot","GOVTWIT"
"1107803","BeatricePiron","GOVTWIT"
"1107804","marielebec78","GOVTWIT"
"1107804","AvecMarieLebec","PTWIT"
"1107805","YaelBRAUNPIVET","GOVTWIT"
"1107805","soutienyael2017","PTWIT"
"1107806","npouzyreff78","GOVTWIT"
"1107806","NPouzyreff","PTWIT"
"1107807","NadiaHAI78","GOVTWIT"
"1107808","edwige_hervieux","OTWIT_TYPE_1"
"1107809","BrunoMillienne","GOVTWIT"
"1107810","auroreberge","GOVTWIT"
"1107810","AvecAurore78310","PTWIT"
"1107811","AureliePiacenza","OTWIT_TYPE_2"
"1107812","KARLOLIVE","GOVTWIT"
"1107812","KarlOlive2022","OTWIT_TYPE_2"
"1107901","B_Marchive","OTWIT_TYPE_1"
"1107902","rochefort_c","OTWIT_TYPE_2"
"1107903","JeanMarieFIEVET","GOVTWIT"
"1107903","JeanMarieFIEVE1","PTWIT"
"1108001","p_rifflart","PTWIT"
"1108002","barbarapompili","GOVTWIT"
"1108003","AlbaneBlt","OTWIT_TYPE_2"
"1108004","JLeclabart","GOVTWIT"
"1108005","CaronDecroix","PTWIT"
"1108101","MRoquesetienne","GOVTWIT"
"1108102","VerdierJouclas","GOVTWIT"
"1108103","JeanTerlier","GOVTWIT"
"1108201","SimoninCatheryn","PTWIT"
"1108202","ChristianAstruc","PTWIT"
"1108304","SereineEnMarche","GOVTWIT"
"1108305","PhilippeMichelK","GOVTWIT"
"1108306","VGB83","GOVTWIT"
"1108307","CMUSCHOTTI","GOVTWIT"
"1108308","famatras","GOVTWIT"
"1108401","ZITOUNISouad3","GOVTWIT"
"1108402","SylvieTavakoli","OTWIT_TYPE_2"
"1108403","AdrienMorenas","GOVTWIT"
"1108404","RichardViolain1","OTWIT_TYPE_1"
"1108501","platombe","GOVTWIT"
"1108502","BeaBellamy85","OTWIT_TYPE_2"
"1108503","StephaneBuchou","GOVTWIT"
"1108504","LeguilleBalloy","GOVTWIT"
"1108505","HenrietPierre","GOVTWIT"
"1108601","fballetblu","GOVTWIT"
"1108601","blu_ballet","PTWIT"
"1108602","SachaHoulie","GOVTWIT"
"1108604","TurquoisNicolas","GOVTWIT"
"1108701","BeaudouinSo","GOVTWIT"
"1108703","geoffroy_sardin","PTWIT"
"1108801","DalleMonange","PTWIT"
"1108802","david_valence","PTWIT"
"1108802","PlusFortsStDie","OTWIT_TYPE_2"
"1108803","stvillemin","PTWIT"
"1108804","chrislaurent88","PTWIT"
"1108804","chrislaurent75","OTWIT_TYPE_4"
"1108901","Victor_Albrecht","PTWIT"
"1108901","LYonneAvecVous","OTWIT_TYPE_2"
"1108902","AndreVilliers89","GOVTWIT"
"1108902","AVilliers2017","PTWIT"
"1108902","andre_villiers","OTWIT_TYPE_4"
"1108903","MicheleCrouzet","GOVTWIT"
"1109001","Thieb_Grudler","PTWIT"
"1109002","bpetitjean","PTWIT"
"1109101","MZeghouf","PTWIT"
"1109102","NaimaSifer","PTWIT"
"1109103","Alexis_IZARD","PTWIT"
"1109104","RixainMP","GOVTWIT"
"1109105","midy_paul","PTWIT"
"1109105","p_midy","OTWIT_TYPE_4"
"1109106","AdeMontchalin","GOVTWIT"
"1109107","robinreda","GOVTWIT"
"1109108","MohamedBida2022","PTWIT"
"1109109","mguevenoux","GOVTWIT"
"1109201","BadinMarie","PTWIT"
"1109202","Bai_Achidi","PTWIT"
"1109203","ATaquillain","PTWIT"
"1109203","EMavecAurelie","OTWIT_TYPE_2"
"1109204","iflorennes92","GOVTWIT"
"1109204","florennes92LREM","PTWIT"
"1109205","celinecalvez","GOVTWIT"
"1109206","ConstanceLeGrip","GOVTWIT"
"1109206","avecCLeGrip","OTWIT_TYPE_2"
"1109207","PierreCazeneuve","PTWIT"
"1109208","priscathevenot","PTWIT"
"1109209","EmmanuelPeller1","OTWIT_TYPE_2"
"1109210","GabrielAttal","GOVTWIT"
"1109211","lauriannerossi","GOVTWIT"
"1109212","JLBourlanges","GOVTWIT"
"1109213","MaudBregeon","PTWIT"
"1109213","AvecMaudBregeon","OTWIT_TYPE_2"
"1109301","JeanneDromard","PTWIT"
"1109302","anaisbrd7","PTWIT"
"1109302","ABROOD_FACE","OTWIT_TYPE_4"
"1109303","Patrice_Anato","GOVTWIT"
"1109304","LovaRinel","PTWIT"
"1109305","nabilaitakkache","PTWIT"
"1109305","nabil_akkache","OTWIT_TYPE_4"
"1109306","YasminaBaziz1","PTWIT"
"1109308","SylvieCharriere","GOVTWIT"
"1109308","SC_deputee","PTWIT"
"1109309","AlexandreSaada","PTWIT"
"1109310","soniabakhti","PTWIT"
"1109312","stephane_teste","GOVTWIT"
"1109401","fdescrozaille","GOVTWIT"
"1109402","JFMBAYE","GOVTWIT"
"1109402","jfrancoismbaye","PTWIT"
"1109403","LauStmartin","GOVTWIT"
"1109403","agir_IDF","PTWIT"
"1109403","avecsaintmartin","OTWIT_TYPE_2"
"1109404","MaudPetit_AN94","GOVTWIT"
"1109405","MathieuMlefevre","PTWIT"
"1109406","G_GouffierCha","GOVTWIT"
"1109407","RoxaMaracineanu","GOVTWIT"
"1109408","EmmWargon","PTWIT"
"1109409","Jonathan_Rblum","PTWIT"
"1109410","PhHardouin","PTWIT"
"1109411","ErwannCalvez","PTWIT"
"1109501","EmilieChandler","PTWIT"
"1109502","g_vuilletet","GOVTWIT"
"1109502","yaumvui","PTWIT"
"1109503","Cecile_Rilhac","GOVTWIT"
"1109504","NaimaMoutchou","GOVTWIT"
"1109504","AvecNaimaM","OTWIT_TYPE_2"
"1109505","fionalazaar","GOVTWIT"
"1109506","EFolest","PTWIT"
"1109507","DDaSilva95","GOVTWIT"
"1109507","dasilvadom","PTWIT"
"1109507","AvecDaSilva","OTWIT_TYPE_2"
"1109508","fpupponi","GOVTWIT"
"1109508","f_pupponi2022","PTWIT"
"1109508","Francoispuppon2","OTWIT_TYPE_4"
"1109508","Pupponi","OTWIT2"
"1109509","zivkapark","GOVTWIT"
"1109510","LachasVictorien","PTWIT"
"1112001","paolijeanfrano1","PTWIT"
"1197102","Justine_BENIN","GOVTWIT"
"1197102","BeninJustine","PTWIT"
"1197102","2020Benin","OTWIT_TYPE_2"
"1197102","JBenin2022","OTWIT2"
"1197103","ferdylouisy","OTWIT_TYPE_2"
"1197302","LenaickADAM","GOVTWIT"
"1197404","Sharif974","PTWIT"
"1197407","HCoddeville","PTWIT"
"1197601","RamlatiAli","GOVTWIT"
"1197602","MadiBoinamani","PTWIT"
"1197701","frantzgumbs1","PTWIT"
"1198701","nicole_bouteau","GOVTWIT"
"1198801","CeDunoyer","PTWIT"
"1198801","philippedunoyer","OTWIT_TYPE_4"
"1198802","NicolasMetzdorf","PTWIT"
"1199901","RolandLescure","GOVTWIT"
"1199901","Jq4jxPk8IF1bkyT","PTWIT"
"1199902","CaroitEleonore","PTWIT"
"1199903","alexIholroyd","GOVTWIT"
"1199904","PA_Anglade","GOVTWIT"
"1199905","manuelvalls","GOVTWIT"
"1199906","FerracciMarc","PTWIT"
"1199907","fpetitAN","GOVTWIT"
"1199907","fpetit2017","OTWIT_TYPE_2"
"1199908","DeborahLieme","PTWIT"
